中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
140.83.61.244,443,140.83.61.244,JP,Osaka,中转,226 ms,35 Mbps,4505 kB/s
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,153 ms,22 Mbps,2918 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,151 ms,46 Mbps,5955 kB/s
141.147.109.121,443,2a0b:21c0:1007:1cb:0:455f:13b:b6ed,DE,Frankfurt,隧道,214 ms,91 Mbps,11673 kB/s
8.222.226.92,443,8.222.226.92,SG,Singapore,中转,169 ms,78 Mbps,10035 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,155 ms,89 Mbps,11468 kB/s
150.230.47.17,443,150.230.47.17,US,San Jose,中转,7 ms,2024 Mbps,259072 kB/s
144.24.83.117,443,144.24.83.117,KR,Tokyo,中转,132 ms,81 Mbps,10444 kB/s
150.230.123.190,443,2a0b:21c0:1007:ca:0:9356:df74:d89d,DE,Frankfurt,隧道,215 ms,114 Mbps,14643 kB/s
8.222.222.64,443,8.222.222.64,SG,Singapore,中转,170 ms,73 Mbps,9418 kB/s
150.230.150.181,443,2a0b:21c0:1007:cb:0:75:456a:ef1d,DE,Frankfurt,隧道,153 ms,104 Mbps,13414 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,130 ms,26 Mbps,3449 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,148 ms,38 Mbps,4898 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,153 ms,37 Mbps,4768 kB/s
141.148.243.140,443,2a0b:21c0:100a:1b6:0:6cb1:9dbe:a57,DE,Frankfurt,隧道,153 ms,106 Mbps,13619 kB/s
8.219.103.65,443,8.219.103.65,SG,Singapore,中转,253 ms,70 Mbps,8961 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,153 ms,36 Mbps,4717 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,151 ms,36 Mbps,4649 kB/s
193.123.81.105,443,193.123.81.105,AE,Milan,中转,266 ms,21 Mbps,2764 kB/s
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,169 ms,87 Mbps,11161 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,169 ms,71 Mbps,9137 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,150 ms,31 Mbps,4017 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,217 ms,80 Mbps,10342 kB/s
130.162.39.168,443,2a0b:21c0:1007:1c9:0:3f55:d2fd:9b4b,DE,Frankfurt,隧道,154 ms,100 Mbps,12800 kB/s
131.186.33.118,443,131.186.33.118,JP,Tokyo,中转,161 ms,39 Mbps,5013 kB/s
192.9.250.241,443,192.9.250.241,US,,中转,96 ms,75 Mbps,9687 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,108 ms,1616 Mbps,206848 kB/s
158.101.11.22,443,2603:c020:e:4d00:dce9:917b:fdb8:24bc,US,Los Angeles,隧道,23 ms,70 Mbps,8964 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,172 ms,98 Mbps,12595 kB/s
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,242 ms,90 Mbps,11571 kB/s
158.101.205.211,443,163.123.193.10,DE,Frankfurt,隧道,153 ms,96 Mbps,12288 kB/s
141.144.229.90,443,2a0b:21c0:100a:1f9:0:fb65:4ae5:d9e8,DE,Frankfurt,隧道,153 ms,108 Mbps,13926 kB/s
54.203.85.46,443,204.110.220.150,US,,隧道,21 ms,324 Mbps,41472 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,0 ms,104 Mbps,13414 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,65 ms,208 Mbps,26624 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,254 ms,41 Mbps,5351 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,159 ms,95 Mbps,12185 kB/s
8.219.164.237,443,8.219.164.237,SG,Singapore,中转,169 ms,57 Mbps,7384 kB/s
152.70.235.207,443,152.70.235.207,KR,Tokyo,中转,207 ms,31 Mbps,4087 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,49 ms,1656 Mbps,211968 kB/s
150.230.127.60,443,2606:f240:f00:b2ed:0:e37:28fa:63c3,US,Frankfurt,隧道,153 ms,107 Mbps,13721 kB/s
8.219.199.220,443,8.219.199.220,SG,Singapore,中转,169 ms,67 Mbps,8626 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,152 ms,36 Mbps,4683 kB/s
140.238.15.251,443,140.238.15.251,KR,Tokyo,中转,130 ms,32 Mbps,4153 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,135 ms,66 Mbps,8509 kB/s
8.219.170.232,443,8.219.170.232,SG,Singapore,中转,204 ms,80 Mbps,10240 kB/s
129.146.2.27,443,129.146.2.27,US,Los Angeles,中转,25 ms,210 Mbps,26931 kB/s
129.154.50.159,443,129.154.50.159,KR,Tokyo,中转,132 ms,139 Mbps,17817 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,172 ms,82 Mbps,10547 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,102 ms,1 Mbps,249 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,150 ms,8 Mbps,1137 kB/s
47.91.92.12,443,98.98.166.190,AE,Frankfurt,隧道,157 ms,104 Mbps,13312 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,109 ms,337 Mbps,43212 kB/s
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,179 ms,108 Mbps,13926 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,52 ms,297 Mbps,38092 kB/s
130.162.208.210,443,2606:f240:f00:46c4:0:1e24:34a4:1ebc,US,Frankfurt,隧道,155 ms,66 Mbps,8471 kB/s
8.219.54.203,443,8.219.54.203,SG,Singapore,中转,169 ms,67 Mbps,8699 kB/s
141.147.74.20,443,141.147.74.20,GB,London,中转,141 ms,130 Mbps,16691 kB/s
47.245.33.33,443,47.245.33.33,JP,Tokyo,中转,191 ms,1 Mbps,168 kB/s
8.219.200.145,443,8.219.200.145,SG,Singapore,中转,169 ms,63 Mbps,8146 kB/s
141.147.45.181,443,2606:f240:f00:5a42:0:f7fb:68d4:45e8,US,Frankfurt,隧道,153 ms,111 Mbps,14233 kB/s
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,148 ms,53 Mbps,6903 kB/s
193.123.93.103,443,193.123.93.103,AE,Paris,中转,255 ms,38 Mbps,4866 kB/s
192.9.172.26,443,192.9.172.26,AU,Sydney,中转,147 ms,90 Mbps,11571 kB/s
129.159.240.128,443,2606:f240:f00:eaf1:0:25aa:cbd9:c41d,US,Frankfurt,隧道,153 ms,88 Mbps,11366 kB/s
132.226.211.69,443,2a0b:21c0:100a:1fa:0:9888:8c7b:d6ac,DE,Frankfurt,隧道,156 ms,88 Mbps,11264 kB/s
146.56.132.247,443,146.56.132.247,KR,Tokyo,中转,131 ms,30 Mbps,3918 kB/s
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,170 ms,84 Mbps,10854 kB/s
138.2.129.80,443,98.98.166.182,AE,Frankfurt,隧道,271 ms,92 Mbps,11878 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,169 ms,78 Mbps,10035 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,153 ms,83 Mbps,10649 kB/s
