中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,210 ms,69 Mbps,8834 kB/s
152.70.178.153,443,2a0b:21c0:100a:1b7:0:518:43c3:b4c8,DE,Frankfurt,隧道,106 ms,116 Mbps,14950 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,196 ms,134 Mbps,17203 kB/s
152.67.218.215,443,2602:ffe4:407:20d9:0:be4f:edab:42a6,SG,Singapore,隧道,236 ms,56 Mbps,7226 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,211 ms,68 Mbps,8746 kB/s
130.162.223.133,443,2a0b:21c0:100a:1f9:0:cdd7:b3bf:488c,DE,Frankfurt,隧道,108 ms,112 Mbps,14336 kB/s
192.9.250.241,443,192.9.250.241,US,,中转,55 ms,367 Mbps,47001 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,214 ms,80 Mbps,10342 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,104 ms,47 Mbps,6030 kB/s
47.253.56.77,443,47.253.56.77,US,Ashburn,中转,120 ms,252 Mbps,32256 kB/s
8.218.201.156,443,8.218.201.156,HK,Hong Kong,中转,251 ms,80 Mbps,10240 kB/s
158.180.68.56,443,158.180.68.56,KR,Hong Kong,中转,170 ms,86 Mbps,11059 kB/s
129.150.37.203,443,129.150.37.203,SG,Singapore,中转,222 ms,58 Mbps,7478 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,246 ms,68 Mbps,8802 kB/s
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,207 ms,34 Mbps,4418 kB/s
144.24.74.51,443,144.24.74.51,KR,Tokyo,中转,171 ms,80 Mbps,10342 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,106 ms,163 Mbps,20889 kB/s
8.222.226.92,443,8.222.226.92,SG,Singapore,中转,289 ms,63 Mbps,8113 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,211 ms,63 Mbps,8107 kB/s
143.47.180.171,443,2a0b:21c0:1007:c9:0:62f9:7c4f:12b0,DE,Frankfurt,隧道,193 ms,208 Mbps,26726 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,199 ms,79 Mbps,10137 kB/s
144.24.85.158,443,144.24.85.158,KR,Seoul,中转,178 ms,45 Mbps,5875 kB/s
8.219.66.156,443,8.219.66.156,SG,Hong Kong,中转,215 ms,58 Mbps,7488 kB/s
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,212 ms,61 Mbps,7892 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,213 ms,65 Mbps,8416 kB/s
8.222.204.128,443,8.222.204.128,SG,Singapore,中转,212 ms,68 Mbps,8704 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,0 ms,182 Mbps,23347 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,0 ms,52 Mbps,6769 kB/s
8.219.164.237,443,8.219.164.237,SG,Singapore,中转,261 ms,65 Mbps,8392 kB/s
8.219.144.168,443,8.219.144.168,SG,Singapore,中转,213 ms,63 Mbps,8116 kB/s
47.243.126.79,443,47.243.126.79,HK,Hong Kong,中转,267 ms,0 Mbps,100 kB/s
8.219.51.211,443,8.219.51.211,SG,Singapore,中转,215 ms,0 Mbps,10 kB/s
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,111 ms,186 Mbps,23859 kB/s
141.147.51.21,443,141.147.51.21,DE,,中转,106 ms,188 Mbps,24166 kB/s
8.219.199.220,443,8.219.199.220,SG,Singapore,中转,276 ms,70 Mbps,9002 kB/s
47.243.5.248,443,47.243.5.248,HK,Hong Kong,中转,191 ms,17 Mbps,2272 kB/s
146.56.132.247,443,146.56.132.247,KR,Osaka,中转,178 ms,32 Mbps,4162 kB/s
8.217.64.144,443,8.217.64.144,HK,Hong Kong,中转,198 ms,63 Mbps,8160 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,213 ms,61 Mbps,7832 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,198 ms,57 Mbps,7370 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,211 ms,65 Mbps,8385 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,198 ms,75 Mbps,9664 kB/s
8.222.137.192,443,8.222.137.192,SG,Singapore,中转,216 ms,59 Mbps,7564 kB/s
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,267 ms,10 Mbps,1407 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,236 ms,100 Mbps,12902 kB/s
47.57.245.232,443,47.89.249.212,US,San Jose,隧道,195 ms,0 Mbps,76 kB/s
47.57.14.118,443,198.11.178.111,US,San Jose,隧道,194 ms,1 Mbps,148 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,167 ms,78 Mbps,10035 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,106 ms,42 Mbps,5456 kB/s
